ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Gender_Encoded,Ever_Married_Encoded,Spending_Score_Encoded,Graduated_Encoded,Cluster
458989,Female,Yes,36,Yes,Engineer,0.0,Low,1.0,0,1,2,1,3
458994,Male,Yes,37,Yes,Healthcare,8.0,Average,4.0,1,1,0,1,0
458996,Female,Yes,69,No,,0.0,Low,1.0,0,1,2,0,2
459000,Male,Yes,59,No,Executive,11.0,High,2.0,1,1,1,0,4
459001,Female,No,19,No,Marketing,,Low,4.0,0,0,2,0,3
459003,Male,Yes,47,Yes,Doctor,0.0,High,5.0,1,1,1,1,0
459005,Male,Yes,61,Yes,Doctor,5.0,Low,3.0,1,1,2,1,4
459008,Female,Yes,47,Yes,Artist,1.0,Average,3.0,0,1,0,1,5
459013,Male,Yes,50,Yes,Artist,2.0,Average,4.0,1,1,0,1,0
459014,Male,No,19,No,Healthcare,0.0,Low,4.0,1,0,2,0,1
459015,Male,No,22,No,Healthcare,0.0,Low,3.0,1,0,2,0,1
459016,Female,No,22,No,Healthcare,0.0,Low,6.0,0,0,2,0,3
459024,Male,Yes,50,Yes,Artist,1.0,Average,5.0,1,1,0,1,0
459026,Male,No,27,No,Healthcare,8.0,Low,3.0,1,0,2,0,1
459032,Male,No,18,No,Doctor,0.0,Low,3.0,1,0,2,0,1
459033,Female,Yes,61,Yes,Artist,0.0,Low,1.0,0,1,2,1,2
459036,Female,Yes,20,Yes,Lawyer,1.0,Average,3.0,0,1,0,1,5
459039,Male,Yes,45,Yes,Artist,1.0,Average,2.0,1,1,0,1,0
459041,Male,Yes,55,Yes,Artist,8.0,Low,1.0,1,1,2,1,4
459045,Female,Yes,88,Yes,Lawyer,1.0,Average,4.0,0,1,0,1,2
459056,Male,Yes,63,No,Executive,,High,3.0,1,1,1,0,4
459057,Male,Yes,69,No,Lawyer,,High,,1,1,1,0,4
459058,Male,No,42,Yes,Artist,0.0,Low,4.0,1,0,2,1,1
459059,Male,Yes,79,No,Executive,,High,2.0,1,1,1,0,4
